date,head,Item,Amount,Total,Tax
,8 crsh fe,total,0.0,161.0,
,solden bowl teri,1 #1 chkn plate,9.39,,
,solden bowl teri,1 + avocado,1.95,,
,solden bowl teri,1 md. drink,2.29,,
,solden bowl teri,al,1.0,,
,solden bowl teri,caan,20.0,,
05/11/18,ee,hamachi collar,12.0,,
05/11/18,ee,mega poke bowl,17.0,,
05/11/18,ee,hamachi - sashimi,12.0,,
05/11/18,ee,maguro - sashimi,11.0,,
05/11/18,ee,salmon - sashimi,10.0,,
05/11/18,ee,hamachi japapeno,12.0,,
05/11/18,ee,salmon collar,10.0,,
05/11/18,ee,escolar - sashimi,11.0,,
05/11/18,ee,total,0.0,143.71,
,dona mercedes restaurant,1 chicharon,2.25,,
,dona mercedes restaurant,3 pupusa queso,6.75,,
,dona mercedes restaurant,1 platanos orden,7.75,,
,dona mercedes restaurant,1 diet coke,1.5,,
,dona mercedes restaurant,2 quesadilla salvadorena,4.0,,
,dona mercedes restaurant,18%:,4.4,,
,dona mercedes restaurant,20%:,4.89,,
,dona mercedes restaurant,25%:,6.12,,
,pulled pork sand $8.50,pulled pork sand,8.5,,
,pulled pork sand $8.50,*reg,0.0,,
,pulled pork sand $8.50,creamed corn[small],3.35,,
,pulled pork sand $8.50,"1, mac & cheese[sm]",4.2,,
,pulled pork sand $8.50,cake[slice],3.95,,
,pulled pork sand $8.50,wells fargo,64.43,,
,pulled pork sand $8.50,change,0.0,,
,pulled pork sand $8.50,total,0.0,64.43,
,#14,total,0.0,24.36,
02/02/19,chef wang,|,5.25,,
02/02/19,chef wang,1,9.95,,
02/02/19,chef wang,total,0.0,35.52,
,it 12:49 pm,ma,3.0,,
7/26/2019,deocan spice,total,0.0,18.0,
6/16/2017,thai,total,0.0,4.0,
01/11/2019,"mattio, mawaii",tota],41.31,,
,py argonaut diner2000-.,1 coffee,1.45,,
,py argonaut diner2000-.,1 tea,1.45,,
,py argonaut diner2000-.,1 waffle,5.5,,
,py argonaut diner2000-.,1 old fashion french toast,4.5,,
,py argonaut diner2000-.,1 side home fries,2.95,,
,py argonaut diner2000-.,1 banana,2.95,,
,py argonaut diner2000-.,1 whipped cream,2.5,,
,py argonaut diner2000-.,1 w/ 2 eggs,2.95,,
3/16/2013,store #1291,total,0.0,164.89,
,micros demo system,for purchases under,20.0,,
,jkh@tha!,chicken fried rice and egg,7.99,,
,jkh@tha!,california tropic and miso,7.99,,
,jkh@tha!,add two tostones,1.0,,
,jkh@tha!,sprite,2.5,,
,jkh@tha!,perrier sparkling water,3.5,,
,jkh@tha!,service fees on tables.,3.45,,
,jkh@tha!,credit card auth,28.04,,
,jkh@tha!,total,0.0,28.04,
2/11/19,"carrview, nj 07022",1 guaca chicharron,13.99,,
2/11/19,"carrview, nj 07022",2 empanada,3.0,,
2/11/19,"carrview, nj 07022",1 pargo frito,19.95,,
2/11/19,"carrview, nj 07022",1 mar y chicken,17.0,,
2/11/19,"carrview, nj 07022",1 salmon a la plancha,16.0,,
2/11/19,"carrview, nj 07022",amt due:,55.39,,
11/01/2018,excellence serv!,total,0.0,91.45,
7/18/19,kickin kajun kapolei,margarita,6.0,,
7/18/19,kickin kajun kapolei,strawberry daiquiri,6.0,,
7/18/19,kickin kajun kapolei,snow combo,54.0,,
,hollywood cafe &,total,0.0,25.22,
,i!,hb,4.0,,
,i!,french fries x 2,5.0,,
,i!,turkey burger,8.85,,
,i!,cbx2,15.7,,
,i!,cb,5.0,,
,i!,chill fries,4.35,,
,i!,cash,60.0,,
,i!,change,3.5,,
,i!,total,0.0,56.5,
,cafe parisien larchmont llc,croissant aux raisins,4.0,,
,cafe parisien larchmont llc,cappucino,475.0,,
,cafe parisien larchmont llc,total,0.0,9.58,0.91
,cafe parisien larchmont llc,sales tax,0.0,,0.91
12/17/2017,1660 india street,total,0.0,83.5,
09/19/2018,hili's grill & bar,15% =,3.95,,
09/19/2018,hili's grill & bar,18% =,4.75,,
09/19/2018,hili's grill & bar,20% =,5.27,,
09/19/2018,hili's grill & bar,22% =,5.8,,
1/23/18,taco maria,18.00% of sale:,7.65,,
1/23/18,taco maria,20.00% of sale:,8.5,,
1/23/18,taco maria,22.00% of sale:,9.35,,
,(734)236-4033,‘apple french toast,7.99,,
,(734)236-4033,total,0.0,2.0,
6/28/2019,_ m's hot wings & things in?,10% gratuity =,1.0,,
6/28/2019,_ m's hot wings & things in?,15% gratuity =,1.5,,
6/28/2019,_ m's hot wings & things in?,20% gratuity =,2.0,,
5/1/2019,sunay 4949-0 thon 626-565-9550,196,11.99,,
,naanching,1 chicken lollipop,9.0,,
,naanching,med,0.0,,
,naanching,1 thai fried rice,12.0,,
,naanching,veyetables,0.0,,
,naanching,med,0.0,,
,naanching,1 chicken tikka masala,16.0,,
,naanching,1 naan,3.0,,
,naanching,1 vegetable biryani,12.0,,
,naanching,1 mango lassi,4.0,,
,naanching,service charge (18.0%),10.08,,
,naanching,total,0.0,69.79,
2/19/19,‘0llow us on instagri,8.00% of sale:,2.33,,
2/19/19,‘0llow us on instagri,le;,2.0,,
,votes,total,0.0,235.19,
,brasas restaurant,1 chicken tort,6.5,,
,brasas restaurant,1 horchata,0.0,,
,brasas restaurant,mb,2.0,,
,brasas restaurant,total,0.0,9.97,
7/1/2018 7/1/2018,trattoria sap0r ito,1 bk fett al porcini *,36.0,,
7/1/2018 7/1/2018,trattoria sap0r ito,1 costolette/alla/papx,42.0,,
7/1/2018 7/1/2018,trattoria sap0r ito,1 broccoll rabe w/ ga,10.5,,
7/1/2018 7/1/2018,trattoria sap0r ito,1 espresso*,3.7,,
7/1/2018 7/1/2018,trattoria sap0r ito,1 dbld espresso# neces,7.3,,
5/4/2017,pita pita - lonbard,total,0.0,228.92,
4/20/2018,table #2,1 shrimp scampi,27.0,,
4/20/2018,table #2,2 chicken milanese,46.0,,
4/20/2018,table #2,1 veal milanese,27.0,,
4/20/2018,table #2,3 grey goose,30.0,,
4/20/2018,table #2,1 pineapple juice,3.0,,
4/20/2018,table #2,1 belvedere,12.0,,
4/20/2018,table #2,1 becks non alcoholic,6.0,,
4/20/2018,table #2,1 corona,6.0,,
4/20/2018,table #2,amount due:,157.51,,
,net total: $11.97,het ote,1.05,,
12/07/2016,12/07/2016,total,0.0,142.93,
42/31/2017,1 little hamburger $5.19,1 little hamburger,5.19,,
42/31/2017,1 little hamburger $5.19,lettuce,0.0,,
42/31/2017,1 little hamburger $5.19,pickles,0.0,,
42/31/2017,1 little hamburger $5.19,tonatoes,0.0,,
42/31/2017,1 little hamburger $5.19,grilled onions.,0.0,,
42/31/2017,1 little hamburger $5.19,grilled mushroons,0.0,,
42/31/2017,1 little hamburger $5.19,mustard,0.0,,
42/31/2017,1 little hamburger $5.19,ketchup,0.0,,
42/31/2017,1 little hamburger $5.19,‘alepeno peppers,0.0,,
42/31/2017,1 little hamburger $5.19,large soda,2.9,,
42/31/2017,1 little hamburger $5.19,cheeseburger,7.8,,
,x,poke f bax.,13.5,,
,x,tip,1.48,,
09/25/18,223 n. citrus ave,? bohemia,16.0,,
09/25/18,223 n. citrus ave,1 albondigas,9.95,,
09/25/18,223 n. citrus ave,1 mole,16.95,,
,.,www nickstuscangr 111 .6ol!,20.0,,
,.,minimum credit/debit payment,20.0,,
,.,total,0.0,67.89,
,mexican restaurant & bar,total,0.0,55.51,
,kaz ramen,1 tonkotsu,9.5,,
,kaz ramen,tofu,0.0,,
,kaz ramen,egg,1.3,,
,kaz ramen,corn,0.5,,
,kaz ramen,bamboo shoots,1.0,,
,kaz ramen,naruto,0.75,,
,kaz ramen,spicy,0.0,,
,kaz ramen,total,0.0,14.06,
,ma,1 vegetable biryani,12.95,,
,ma,1 malai kofta,12.95,,
,ma,1 onion naan,3.95,,
,ma,you have saved :,14.93,,
,the,1 american coffee,1.75,,
,the,total,0.0,22.87,
,lan sheng,1 stir beef fillet w. tofu,12.95,,
,lan sheng,1 pork w. spicy tofu & cayen,12.0,,
,$4.39,[epr,6.75,,
,$4.39,(14 a,7.95,,
,$4.39,amount:,25.34,,
,$4.39,15% =,3.8,,
,$4.39,18% =,4.56,,
,$4.39,20% =,5.07,,
,chelokababi,koobideh x 7,115.5,,
,chelokababi,nan-o-sabzi,8.95,,
,chelokababi,18% gratuity (yan{cs »,22.4,,
,columbus restaurant,total,0.0,184.47,
6/02/2018,"_, golden panda buffet",total,0.0,29.96,
12/28/18,firefly american bistro,aioe oe wedding soup_,2.95,,
12/28/18,firefly american bistro,spaghetti marinara,17.95,,
12/28/18,firefly american bistro,fettuccine alfredo,23.95,,
12/28/18,firefly american bistro,sma]] wedge salad (dinner),4.95,,
12/28/18,firefly american bistro,creme brulee,4.0,,
12/28/18,firefly american bistro,baileys,7.0,,
12/28/18,firefly american bistro,total,0.0,83.64,
,chatpata restaurant inc,1 6.5 chicken korma,11.95,,
,chatpata restaurant inc,1 10.1 naan (plain naan,195.0,,
,chatpata restaurant inc,1 13.1 kheer,3.95,,
,chatpata restaurant inc,total,0.0,19.1,
,moonstar rest auranti,5  fri-sun dinner,29.88,,
,| ee ae he,1 iced tea,4.5,,
,| ee ae he,1 rombo carciofi fungh,48.0,,
,| ee ae he,1 sparkling water larg,8.5,,
,| ee ae he,1 branzino grigliato,40.0,,
,the shawarma factory,total,0.0,13.13,
,order: 9,jonton or egg drop or,3.75,,
,order: 9,wonton soup,0.0,,
,order: 9,tropical,5.0,,
,order: 9,2 @,2.5,,
,order: 9,tamal de pollo,3.5,,
,order: 9,@,3.5,,
,1450 $ ~ c,total,0.0,25.47,
8/30/2015,pine in,total,0.0,5.29,
9/6/2018,via mar restaurant,wnt due:,13.24,,
,esas,tlunta,3.0,,
,‘i lvy,total,0.0,24.72,
12/2/2017,\ station: 10,iml:,1.5,,
,table #1,food:,12.4,,
,table #1,br,2.0,,
04/13/18,idanéema,on =,8.39,,
07/03/2015,bar louie huntsville,total,0.0,136.0,
06/24/2018,el charro cafe ventana,total,0.0,47.0,
,server: |,lamb burger,13.0,,
,server: |,kids grilled cheese,5.0,,
,server: |,kids fries,3.0,,
,server: |,sweet potato fries,8.0,,
,server: |,kids cheeseburger,7.0,,
,server: |,beef burger,10.0,,
,server: |,sides,3.5,,
,server: |,total,0.0,54.2,
,jalisci,total,0.0,10.0,
02/12/2016,jt's diner,total,0.0,2.0,
,spiral diner & bakery,short stack,8.59,,
,spiral diner & bakery,coffee,2.99,,
,spiral diner & bakery,breakfast quesadilla,13.99,,
,bombay grill house,total,0.0,5.95,
,amici conyers,total,0.0,20.62,
12/91/2018,eee] geet,1 sal,20.0,,
12/91/2018,eee] geet,"pala, (sl",18.0,,
12/91/2018,eee] geet,1 veoan benin suertay,17.0,,
,veo sent,18% gratuity,25.56,,
,veo sent,20% gratuity,28.4,,
,veo sent,22k gratuity,31.24,,
